total_population,pop_density,maxdist_road,meandist_road,id
4,2,2082,1362,9266
0,0,5624,4944,9270
0,0,884,316,9313
0,0,25336,24543,9340
18,11,993,373,9348
0,0,50000,50000,9349
11,6,3489,2580,9350
80,49,5774,4925,9352
11,7,1403,842,9363
0,0,50000,50000,9393
217,133,5358,4552,9394
3,2,45100,44238,9442
0,0,39898,39184,9457
20,12,1599,869,9464
1,0,6464,5603,9476
16,10,18661,17803,9480
133,81,2388,1969,9481
0,0,50000,50000,9486
40,24,7931,7218,9487
0,0,4667,3917,9492
63,38,10938,10070,9499
21,12,1473,673,9500
0,0,50000,50000,9505
211,129,5375,4776,9511
0,0,42020,41158,9515
197,121,3241,2379,9516
0,0,43766,42878,9518
413,253,1934,1093,9520
12,7,3412,2727,9524
1,1,7139,6306,9528
0,0,1298,633,9535
92,56,5506,4688,9543
62,38,3881,3186,9548
0,0,884,303,9578
0,0,4020,3250,9605
0,0,50000,50000,9625
0,0,5197,4571,9638
9,6,5314,4577,9658
0,0,31838,31094,9664
0,0,13863,13139,9685
0,0,50000,50000,9711
12,7,5035,4182,9719
0,0,50000,50000,9723
0,0,23282,22562,9733
324,199,2064,1330,9747
3,2,4166,3360,9748
0,0,15351,14654,9755
0,0,2271,1377,9757
19,11,18320,17650,9761
0,0,10337,9558,9770
10,6,5512,4668,9781
26,16,12574,11698,9789
0,0,50000,50000,9791
406,249,760,186,9796
0,0,19521,18661,9799
3,1,22379,21609,9805
0,0,4172,3344,9833
5,3,2739,2089,9837
9,5,11445,10602,9852
46,28,3945,3096,9870
2,1,2313,1431,9876
0,0,2981,2361,9878
0,0,14443,13594,9883
0,0,50000,50000,9888
1,0,3723,3225,9890
0,0,39181,38323,9911
9,5,6448,5599,9917
0,0,50000,50000,9954
245,150,2009,1342,9956
9,6,2866,2002,9960
0,0,4366,3486,9978
10932,6709,154,39,9989
43,26,4937,4178,9998
29,18,5504,4800,10050
1,0,5881,5018,10055
11,7,9088,8395,10058
7,4,16226,15354,10069
2,1,4768,3889,10076
1689,1036,3095,2369,10093
0,0,14956,14191,10100
0,0,5060,4191,10103
1,0,9227,8383,10108
0,0,16233,15385,10119
2,1,14558,13675,10120
11,7,1337,717,10128
2,1,26006,25080,10130
0,0,3330,2405,10150
0,0,33050,32221,10168
7,4,2180,1350,10184
2642,1621,444,122,10185
228,140,2525,1766,10236
85,52,751,373,10260
3568,2190,606,259,10269
1,0,5092,4246,10298
0,0,50000,50000,10312
3,2,1184,557,10318
57,35,4719,3930,10319
3,2,838,376,10329
0,0,50000,50000,10350
23,14,1728,1105,10373
0,0,872,345,10378
236,145,1951,1137,10379
2,1,8330,7498,10399
0,0,22276,21431,10421
4,2,2768,2082,10422
0,0,8952,8144,10455
112,69,1449,592,10457
135,83,1388,532,10463
0,0,10436,9771,10469
0,0,2585,1937,10474
0,0,50000,50000,10478
0,0,6073,5370,10484
0,0,3508,2597,10492
1366,838,953,615,10504
16,10,2851,2003,10510
0,0,50000,50000,10515
185,113,3556,2857,10518
82,50,22251,21474,10537
