total_population,pop_density,maxdist_road,meandist_road,id
0,0,2981,2361,9878
0,0,50000,50000,9884
62,38,981,503,9925
0,0,1646,904,9950
5,3,2161,1577,9967
0,0,2587,2176,9976
10932,6709,154,39,9989
355,218,978,386,9993
1212,743,1483,648,10004
0,0,50000,50000,10011
42,26,1651,1004,10022
9,6,1654,833,10025
0,0,50000,50000,10033
0,0,50000,50000,10035
0,0,50000,50000,10045
8,5,25227,24391,10061
0,0,50000,50000,10075
12,7,1786,1085,10089
0,0,15086,14284,10090
1640,1006,538,127,10091
9,6,1591,917,10092
212,130,1609,929,10098
9,5,2235,1473,10101
37,22,977,310,10105
414,254,1392,662,10129
0,0,6529,5898,10132
100,61,868,301,10146
0,0,9182,8549,10180
2642,1621,444,122,10185
59,36,4429,3574,10197
3,2,1537,1092,10204
527,323,4155,3510,10209
2589,1589,839,311,10225
14,8,2720,1859,10237
0,0,3796,2972,10240
3568,2190,606,259,10269
0,0,1421,690,10270
57,35,6608,5745,10272
105,64,1876,1029,10285
0,0,11775,10975,10290
0,0,36158,35360,10294
0,0,50000,50000,10310
3,2,838,376,10329
4,2,5840,4996,10363
7,4,2171,1515,10364
0,0,5342,4723,10371
508,312,904,305,10411
243,149,1009,395,10419
0,0,22276,21431,10421
4,2,2768,2082,10422
11,7,1013,382,10424
5232,3211,1660,919,10428
0,0,3696,3025,10429
9,5,2027,1290,10430
23,14,7352,6598,10449
2,1,2974,2239,10452
0,0,8941,8281,10471
505,310,2101,1460,10483
5,3,1135,446,10489
1,0,8852,8068,10502
0,0,50000,50000,10515
7307,4484,531,210,10530
3,1,17705,17007,10534
0,0,11916,11083,10538
38,23,839,300,10550
26,16,8986,8106,10558
214,131,2467,1753,10590
7,4,2227,1485,10621
14,8,846,320,10622
53,33,6206,5445,10644
0,0,1769,978,10649
312,191,2253,1584,10652
0,0,17869,17371,10679
22,13,2250,1364,10687
0,0,1108,447,10688
1,1,1830,1104,10693
2,1,27986,27100,10703
1,0,50000,50000,10708
1430,877,197,39,10713
20,12,24774,24032,10716
0,0,50000,50000,10720
1,1,4263,3381,10722
0,0,22552,21834,10723
1,1,2392,1570,10727
19,11,29973,29113,10731
0,0,50000,50000,10739
22,13,1628,759,10755
2,1,1921,1238,10765
0,0,12799,11956,10770
49,30,1889,1258,10771
0,0,9972,9137,10774
0,0,50000,50000,10787
0,0,50000,50000,10789
41,25,12232,11591,10815
7,4,2510,1884,10828
38,23,782,271,10833
0,0,3496,2672,10834
3,1,1110,491,10852
1302,799,836,270,10855
0,0,50000,50000,10862
0,0,50000,50000,10882
0,0,10905,10021,10932
245,150,527,153,10944
3,2,2688,2063,10949
32,20,4865,4090,10962
0,0,50000,50000,10966
0,0,2512,1767,10975
1,1,2523,1647,10979
417,256,5486,4603,10981
810,497,912,266,11008
2316,1421,846,258,11018
0,0,50000,50000,11024
3849,2362,202,53,11043
1,0,1042,290,11050
246,151,1243,544,11053
0,0,12415,11679,11054
353,217,734,193,11055
0,0,50000,50000,11070
71,43,1387,549,11081
1,1,17310,16505,11094
239,147,1181,435,11100
0,0,35260,34539,11112
2389,1466,710,159,11129
13,8,6443,5576,11134
862,529,615,219,11136
0,0,16113,15252,11149
803,493,649,228,11151
0,0,13284,12421,11171
4,2,3755,3056,11179
874,536,831,440,11182
0,0,50000,50000,11191
1,0,50000,50000,11204
